 CCCS Medium 10.033-01,,*IMPORTANT: None of the controls in PT Family are selected for CCCS Medium baseline (Table 4.15),,,,,,CCCS Medium*,CSP Full Stack,CSP,,Client,,CDS Supplemental Attributes,,
ID,Name,Class,Title,Definition,Supplemental Guidance,References,Related Controls,,,Stacked PaaS,Stacked SaaS,IaaS / PaaS,SaaS,Organization Level,System Level,Priority
,,,,,,,,0,0,0,0,0,0,2,13,
,,,,,,,,,,,,,,,,
PT-01,Personal information handling and transparency policy and procedures,Activity,,"A. Develop, document, and disseminate to [Assignment: organization-defined personnel or roles] personnel or roles with privacy policy and personal information handling responsibilities
1. [Selection (1 or more): organization-level; mission/business process-level; system-level] organization-level; system-level privacy policy and personal information handling procedures that
a. addresses objectives, scope, roles, responsibilities, management commitment, coordination among organizational entities, and compliance obligations
b. is consistent with applicable laws, jurisprudence, directives, regulations, policies, directives, standards, and guidelines
2. procedures to facilitate the implementation of the privacy policy and procedures for personal information handling and the associated personal information handling and transparency controls
B. Delegate responsibility to [Assignment: organization-defined official] Privacy Officer to develop, document, and communicate personal information handling and transparency policy and procedures
C. Review and update personal information handling and transparency
1. privacy policy [Assignment: organization-defined frequency] at least every 3 years and following [Assignment: organization-defined events] significant changes in ITSP10.033; significant cybersecurity incident and/or privacy breach
2. personal information handling procedures, including transparency requirements [Assignment: organization-defined frequency] at least anually and following [Assignment: organization-defined events] significant changes in ITSP10.033; cybersecurity incidents; privacy breaches; changes in applicable laws, Orders in Council; changes in TBS directives, regulations, policies, standards, and guidelines","Privacy policies and personal information handling procedures, including transparency requirements, address the controls in the PT family that are implemented within systems or that are specific to program activities and to the organization. The risk management strategy is an important factor in establishing such policies and procedures. Policies and procedures contribute to security and privacy assurance. Therefore, it is important that security and privacy programs collaborate on the development of policies that document or affect personal information handling and procedures.

Security and privacy policies and procedures at the organization level are required and augment program activity or system-specific personal information handling procedures. The privacy policy can be included as part of the general security and privacy policy or be represented by multiple policies that reflect the complex nature of organizations.

Procedures can be established at the organizational level, for program activities or business processes, and for systems, if needed. Procedures describe how the policies or controls are implemented and can be directed at the individual or role that is the object of the procedure. Procedures can be documented in system security and privacy plans or in one or more separate documents.

Events that may precipitate an update to an organization privacy policy and personal information handling and transparency procedures include assessment or audit findings, breaches, or changes in applicable laws, jurisprudence, directives, regulations, policies, standards, and guidelines. Simply restating controls does not constitute an organizational policy or procedure.","TBS Policy on Privacy Protection
TBS Directive on Privacy Practices ","PM-18, PM-20, PM-27, SI-02",,,,,,,X,,P1
PT-02,Authority to collect and use personal information,Control,,"A. Determine and document the [Assignment: organization-defined authority] requirements of the Privacy Act and related TBS policies and directives that permits the [Assignment: organization-defined collection and use]  information system collection and use of personal information
B. Restrict the [Assignment: organization-defined collection and use] information system collection and use of personal information to only that which is authorized","GC discussion: Federal institutions are subject to laws or Orders in Council that provide the institution’s authority to establish program activities that collect and use personal information. Institutions must handle the personal information under their control in accordance with the requirements of the Privacy Act and related TBS policies and directives.
Appropriate privacy senior officials should consult with the appropriate privacy practitioner or executive and legal counsel regarding their authority and the appropriate handling requirements, particularly if the authorities are complex in nature. While handling of personal information is legally permissible, privacy risks may still arise.
PIAs, combined with other risk assessments, can identify the privacy impacts associated with the handling of personal information and support solutions to manage such risks. The Cyber Centre publication Organizational cyber security and privacy risk management activities (ITSP.10.036) provides an integrated approach to mitigating security and privacy risks through the system development lifecycle.
When handling personal information, federal institutions must follow the Privacy Act, its regulations, and related TBS policies and directives. Some organizations may also be subject to additional legislation that dictates handling requirements for personal information. With few exceptions, institutions must notify individuals of the purpose for collecting their information and how it will be used and disclosed. This notice should be given at the point of collection.
If personal information is used in a decision-making process or stored in a manner designated to be retrieved by the individual’s identity, institutions should further document the personal information elements that are collected or created (including the legal authority), and how they may be disclosed in PIBs. In addition, these program activities must conduct a PIA, which will serve as an input to the risk assessment. Privacy risks should be identified before the start of the program or activity. A summary of the PIA must be posted online. Additional accountability and governance steps must be taken prior to sharing personal information or contracting out services that involve personal information such as information sharing agreements or arrangements, contracts, and memoranda of understanding.","TBS Policy on Privacy Protection
TBS Directive on Privacy Practices
TBS Directive on Privacy Practices, Appendix C: Standard on Privacy Impact Assessment
TBS Guidance on Preparing Information Sharing Agreements Involving Personal Informatio
Organizational cyber security and privacy risk management activities (ITSP.10.036) (Not publicly available)","AC-02, AC-03, CM-13, IR-09, PM-09, PM-19, PM-24, PT-01, PT-03, PT-05, PT-06, RA-03, RA-08, SI-12, SI-18",,,,,,,X,,P1
PT-02(01),Authority to collect and use personal information: Data tagging,Control,,Attach data tags containing [Assignment: organization-defined authorized handling] to [Assignment: organization-defined elements of personal information].,"Data tags support the tracking and enforcement of authorized handling by conveying the types of handling that are authorized, along with the relevant elements of personal information throughout the system. Data tags may also support the use of automated tools.",,"AC-16, CA-06, CM-12, PM-05, PM-22, PT-04, SC-16, SC-43, SI-10, SI-15, SI-19",,,,,,,,,
PT-02(02),Authority to collect and use personal information: Automation,Control,,Manage enforcement of the authorized handling of personal information using [Assignment: organization-defined automated mechanisms].,Automated mechanisms augment verification that only authorized handling is occurring.,,"CA-06, CM-12, PM-05, PM-22, PT-04, SC-16, SC-43, SI-10, SI-15, SI-19",,,,,,,,,
PT-03,Personal information handling uses and disclosures,Control,,"A. Identify and document the [Assignment: organization-defined use(s) and disclosure(s)] information system use(s) and disclosure(s) associated with collections of personal information
B. Describe the purpose(s) of collection in the privacy notices and policies of the program activity or organization
C. Restrict the [Assignment: organization-defined use(s) and disclosure(s)] information system use(s) and disclosure(s) of personal information to only that which is compatible with the identified purpose(s) or permissible under the Privacy Act
D. Monitor changes in handling personal information and implement [Assignment: organization-defined mechanisms] a review process at least anually to ensure that any changes are made in accordance with [Assignment: identified legislative requirements] Privacy Act and related TBS policies and directives
AA. Update the PIB and notify the OPC and TBS of the new use or disclosure","GC discussion: Once the primary purpose of collection has been identified, the purpose is described in the activity or service privacy notices, policies, and any related privacy compliance documentation, including PIAs, PIBs, PIPEDA or Privacy Act requirements, and applicable legislation.Organizations must monitor for changes in personal information handling. Organizational personnel should consult with the appropriate privacy senior official or executive and legal counsel to ensure that any new uses or disclosures that arise are compatible with the purpose for which the information was collected and are consistent with that purpose or a permissible use or disclosure in accordance with the Privacy Act. If the use or disclosure is not permissible, consent may be required.","Privacy Act

TBS Policy on Privacy Protection

TBS Directive on Privacy Practices

TBS Directive on Privacy Practices, Appendix C: Standard on Privacy Impact Assessment","AC-02, AC-03, AT-03, CM-13, IR-09, PM-09, PM-25, PT-02, PT-05, PT-06, PT-07, RA-08, SC-43, SI-12, SI-18",,,,,,,,X,P1
PT-03(01),Personal information handling uses and disclosures: Data tagging,Control,,Attach data tags containing the following purposes to [Assignment: organization-defined elements of personal information]: [Assignment: organization-defined handling purposes].,"Data tags support the tracking of handling purposes by conveying the purposes along with the relevant elements of personal information throughout the system. By conveying the handling purposes in a data tag along with the personal information as the information transits a system, a system owner or operator can identify whether a change in handling would be compatible with the identified and documented purposes. Data tags may also support the use of automated tools.",,"CA-06, CM-12, PM-05, PM-22, SC-16, SC-43, SI-10, SI-15, SI-19",,,,,,,,,
PT-03(02),Personal information handling uses and disclosures: Automation,Control,,Track handling purposes of personal information using [Assignment: organization-defined automated mechanisms].,Automated mechanisms augment tracking of the handling purposes,,"CA-06, CM-12, PM-05, PM-22, SC-16, SC-43, SI-10, SI-15, SI-19",,,,,,,,,
PT-04,Consent,Control,,"A. Ensure that consent is obtained in writing or is otherwise adequately documented, including information such as the date and time of consent
B. In the federal government, implement [Assignment: organization-defined tools or mechanisms] options requiring affirmative, active user action in Terms of Service (ToS) of the information system for individuals to provide informed consent to the secondary uses or indirect collection of their personal information. Consent must include
1. the purpose of the consent
2. the specific personal information elements involved
3. in the case of indirect collection, the sources that will be asked to provide the information, as well as the reason for making the collection indirectly
4. uses or disclosures that are not consistent with the original purpose of the collection and for which consent is being sought
5. any consequences that may result from withholding consent
6. any alternatives to providing consent
C. In the private sector, implement [Assignment: organization-defined tools or mechanisms] for individuals to provide meaningful consent to the collection, use and disclosure of their personal information","GC discussion: While consent is appropriate in the private sector, it is only required in the GC if personal information will be used for a secondary purpose or may be appropriate if information will be collected indirectly. Federal institutions only require that the personal information collected has a direct connection to an operating program or service, commonly referred to as requiring legislative authority. The original use of personal information is the purpose that was communicated to the individual when the personal information was collected and is directly related to an operating program or activity of the institution. A use of the information that is not consistent with the original purpose is considered to be a secondary purpose.Consent for secondary uses allows individuals to control the circumstances in which their personal information can be used. Consent may be required by applicable laws, directives, regulations, policies, standards, or guidelines. When selecting consent as a control, organizations should consider whether individuals have the capacity to provide informed consent.Before collecting personal information, federal government organizations should make sure that they have parliamentary authority for the program or activity for which the information will be collected. Obtaining an individual's consent for the collection or use of personal information does not replace or establish authority for the collection of that information.

CDS Discussion: This is only required for secondary use.","TBS Directive on Privacy Practices

Privacy Act

PIPEDA","AC-16, PT-02, PT-05",,,,,,,,X,P2
PT-04(01),Consent: Tailored Consent Government of Canada,Control,,"Provide [Assignment: organization-defined mechanisms] options requiring affirmative, active user action in Terms of Service (ToS) of the information system to allow individuals to tailor handling permissions to selected elements of personal information.","Not all secondary uses will require all of the personal information that was collected for the primary purpose. In such cases, tailored consent should be considered. Organizations should inform individuals of their personal information that will be applied to the secondary use. For example, collecting the name, contact information, and financial information for a primary purpose and a secondary use of the name and contact information for proactive communication would require tailored consent. More tailored consent may help reduce privacy risk, increase individual satisfaction, and avoid adverse behaviours, such as abandonment of the product or service.

CDS Discussion: This is only required for secondary use.",,PT-02,,,,,,,,X,P2
PT-04(02),Consent: Timely Consent,Control,,"Present [Assignment: organization-defined consent mechanisms] options requiring affirmative, active user action in Terms of Service (ToS) to individuals at [Assignment: organization-defined frequency] the time of subscribing to or prior to using the information system or and in conjunction with [Assignment: organization-defined personal information handling].","Timely consent enables individuals to understand how their personal information will be handled at the time or in conjunction with specific types of data handling when such participation may be most useful to the individual. Individual assumptions about how personal information is being processed might not be accurate or reliable if time has passed since the individual last gave consent or if the type of handling creates significant privacy risk. Organizations should use discretion to determine when to request consent and may use supporting information on demographics, focus groups, or surveys to learn more about individuals’ privacy interests and concerns.

CDS Discussion: This is only required for secondary use.",,PT-02,,,,,,,,X,P2
PT-04(03),Consent: Revocation,Control,,Implement [Assignment: organization-defined tools or mechanisms] for individuals to revoke consent to the handling of their personal information.,Revocation of consent enables individuals to exercise control over their initial consent decision when circumstances change. Organizations should consider usability factors in enabling easy-to-use revocation capabilities.,,PT-02,,,,,,,,,
PT-05,Privacy Notice,Control,,"Provide notice to individuals about the collection of their personal information that includes:
A. the legal authority for the collection of personal information
B. any legal or administrative consequences of refusing to provide the personal information
C. the rights of access to, correction, and protection of personal information
D. a warning that system usage may be monitored, recorded, and subject to audit and includes
1. a statement explaining the regular monitoring practices of electronic networks
2. a statement that electronic networks will be monitored for work-related purposes
3. a statement that special monitoring may be permitted without notice in instances where illegal or other unacceptable use is suspected
E. an explanation of how the information will be used
F. the right to file a complaint with the Privacy Commissioner of Canada regarding the institution’s handling of the individual’s personal information
G. the relevant PIB reference, if applicabe","GC discussion: Privacy notices ensure individuals are informed about how their personal information is being collected or used by the organization. Organizations should use privacy notices to inform individuals about how, under what authority, and for what purpose their personal information is processed, as well as other information such as the choices individuals might have with respect to that handling and other parties with whom information is shared. Laws, Orders in Council, directives, regulations, or policies may require that privacy notices include specific elements or be provided in specific formats.GC personnel should consult with the appropriate privacy senior official or executive and legal counsel regarding when and where to provide privacy notices, as well as elements to include in privacy notices and required formats. In circumstances where laws or government-wide policies do not require privacy notices, organizational policies and determinations may require privacy notices and may serve as a source of the elements to include in privacy notices.To help individuals understand how their information is being used, organizations should write materials in plain language and avoid technical jargon.","TBS Policy on Service and Digital

TBS Directive on Service and Digital

Privacy Act

TBS Directive on Privacy Practices
","PM-20, PM-22, PT-02, PT-03, PT-04, PT-07, RA-03, SC-42, SI-18",,,,,,,,X,P1
PT-05(01),Privacy notice: Timely privacy notice statements,Control,,Present notice of personal information handling to individuals at the time that the individual provides personal information,"Privacy notice statements inform individuals of how organizations process their personal information at a time when such notices may be most useful to the individuals. Individual assumptions about how personal information will be used or disclosed might not be accurate or reliable if time has passed since the organization last presented notice or if the circumstances under which the individual was last provided notice have changed. Periodic communication of a privacy notice statement can remind individuals about uses or disclosures of their personal information. Organizations should use discretion to determine when to communicate privacy notice reminders and may use supporting information on user demographics, focus groups, or surveys to learn about users’ privacy interests and concerns.",,PM-21,,,,,,,,X,P1
PT-05(02),Privacy notice: Privacy notice statements,Control,,Include privacy notice statements on forms that collect information that will be maintained in a PIB.,"If a federal department or agency asks individuals to supply information, the department or agency is required to provide a privacy notice statement on the form used to collect the information. The department or agency provides a privacy notice statement in such circumstances, regardless of whether the information will be collected on a paper or electronic form, on a website, on a mobile application, over the telephone, or through some other medium.

Privacy notice statements provide formal notice to individuals of the legislative authority under which the collection of the information is conducted; whether providing the information is mandatory or voluntary; the principal purpose(s) for which the information is to be used; the published consistent uses to which the information is subject; the effects on the individual, if any, of not providing all or any part of the information requested; and an appropriate citation and link to the relevant PIB.

Federal department and agency personnel should consult with the appropriate privacy senior official or executive and legal counsel regarding the notice provisions of the Privacy Act.",,,,,,,,,,X,P1
PT-06,Personal Information Banks,Control,,"Program activities that collect personal information must register and publish a PIB if that information has been used, is being used, or is available for use for an administrative purpose or if it is organized or intended to be retrieved by the name of an individual or by an identifying number, symbol or other particular assigned to an individual. [Assignment: organization-defined roles or personnel] Personnel or roles with privacy policy and personal information handling responsibilities are responsible for:
A. registering or submitting new or significantly modified PIBs in accordance with TBS Directive on Privacy Practices, using the Personal Information Bank Submission form provided by TBS
B. publishing PIBs on the relevant institution’s Info Source webpage and updating this information once a year
C. keeping PIBs accurate, up-to-date, and scoped in accordance with policy","GC discussion: The Privacy Act requires that federal departments and agencies listed in Schedule III of the Act publish a collection of PIBs in their annual Info Source publication. Generally, a PIB is required when a GC department or agency collects personal information for an administrative purpose or if the personal information is retrievable by an individual’s name, identifying number, symbol, or other identifier.
Institution-specific PIBs describe personal information collected in support of institution-specific programs or services. Standard PIBs describe information about members of the public, as well as current and former federal employees, contained in records created, collected, and maintained by most government institutions in support of common internal services. Central PIBs describe personal information that is held by one government department on behalf of other government departments. Finally, exempt banks, which are institution-specific, and their content can be withheld by the Head of the institution.
The PIB describes the legislative authority for the collection, the class of individuals affected, the personal information data elements collected, all uses of the information, consistent disclosures, retention expectations, and additional details about the system as described in TBS guidelines.

CDS Discussion: PIB is applicable (e.g. CanadaLogin), and should be published here: https://www.canada.ca/en/employment-social-development/corporate/transparency/access-information/reports/infosource-2024-2025.html","Privacy Act

TBS Policy on Privacy Protection

TBS Directive on Privacy Practices","AC-03, PM-20, PT-02, PT-03, PT-04, PT-05",,,,,,,,X,P1
PT-06(01),Personal information banks: Consistent uses and disclosures,Control,,"Review all consistent uses published in the PIB at [Assignment: organization-defined frequency] at least anually to ensure continued accuracy, and to ensure that consistent uses continue to be compatible with the purpose for which the information was collected.","GC discussion: The Privacy Act requires federal departments and agencies to describe each consistent use of the records as documented in the PIB. A consistent use has a reasonable and direct connection to the original purpose(s) for which the information was obtained. Personal information, as referenced in a PIB, can be disclosed without the consent of the individual in specific circumstances. One such circumstance is a disclosure for a purpose for which the information was obtained or compiled by the institution for a use consistent with that purpose. There are other permissible disclosures as documented in the subsection 8(2) of the Privacy Act.

CDS Discussion: PIB is applicable (e.g. CanadaLogin), and should be published here: https://www.canada.ca/en/employment-social-development/corporate/transparency/access-information/reports/infosource-2024-2025.html",,,,,,,,,,X,P2
PT-06(02),Personal information banks: Exempt banks,Control,,Review all PIBs that were designated as exempt banks under section 18 of the Privacy Act [Assignment: organization-defined frequency] to ensure they remain appropriate and necessary in accordance with law.,"The Privacy Act includes provisions that allow federal departments and agencies to claim exemptions to TBS from certain requirements. A PIB qualifies for exemption when more than half of the information in each file contained in the bank qualifies for an exemption under section 21 or 22 of the Privacy Act. The described files consist predominantly of personal information that relates to international affairs, defence, and law enforcement and investigation. Exempt PIBs still require registration with TBS.

CDS Discussion: Exempt banks are unlikely to applicable.",,,,,,,,,,,
PT-07,Particularly sensitive personal information,,,Apply [Assignment: organization-defined handling conditions] PIA process and Security Categorization procedure for particularly sensitive personal information.,"Organizations should apply any conditions or protections that may be necessary for particularly sensitive personal information. These conditions may be required by laws, Orders in Council, directives, regulations, policies, standards, or guidelines. The requirements may also come from the results of privacy risk assessments that factor in contextual changes that may result in an organizational determination that a particular category of personal information is particularly sensitive or raises particular privacy risks. Organizations should consult with the appropriate privacy senior official or executive and legal counsel regarding any protections that may be necessary.","Privacy Act

TBS Directive on Privacy Practices

TBS Directive on Social Insurance Number

OPC Interpretation Bulletin: Sensitive Information

Canadian Charter of Rights and Freedoms","IR-09, PT-02, PT-03, PT-05, PT-06, RA-03",,,,,,,,X,P1
PT-07(01),Particularly sensitive personal information: Social insurance numbers,,,"When a program or activity collects, uses, or discloses social insurance numbers (SINs):
a. ensure there is express authority for the collection and use of the SIN
b. provide notice, at the point of collection, regarding the authority to collect as well as the anticipated use or disclosures of the SIN
c. ensure the collection and use of SIN is included in the associated PIB, if appropriate","GC discussion: GC policy establishes specific requirements for organizations’ handling of some categories of particularly sensitive personal information such as SINs. The SIN is a confidential number that should not be used as identification or provided for non-governmental purposes. Organizations should take steps to eliminate unnecessary uses of SINs and other sensitive information and should observe any particular requirements that apply.The collection and use of the SIN by government institutions should only be for the authorized and lawful purposes outlined in Appendix A of the TBS Directive on Social Insurance Number. The directive provides direction to government institutions on how the SIN can be collected, used, and disclosed. It also outlines the methods to establish policy authority for a new collection or new consistent use of the SIN.",,IA-04,,,,,,,,X,P1
PT-07(02),Particularly sensitive personal information: Canadian Charter of Rights and Freedoms,,,Restrict the handling of information describing how any individual exercises rights guaranteed by the Canadian Charter of Rights and Freedoms unless there is lawful authority or if it is within the scope of an authorized law-enforcement activity.,GC discussion: Organizations should exercise caution when considering the collection of data elements protected under the Canadian Charter of Rights and Freedoms to ensure there is lawful authority for the handling of that personal information. Organizations should consult with the appropriate privacy senior official or executive and legal counsel.,,,,,,,,,,X,P1
PT-08,Data Matching Requirements,,,"When a program activity seeks to collect, use, or disclose personal information for the purpose of conducting a data matching activity:
A. ensure the authority exists to collect, use, or disclose the personal information for the purpose of data matching
B. develop and enter into an information sharing agreement or information sharing arrangement for the purpose of data matching
C. verify that the [Selection (1): notice to the individual; consent obtained from the individual] notice to the individual identifies that the information will be used for data matching activities
D. verify that the associated PIB identifies that the information will be used for data matching activities","GC discussion: Data matching is defined as an activity involving the comparison of personal information from different sources, including sources within the same government institution, for administrative or non-administrative purposes. The data-matching activity that is established can be systematic or recurring. The data-matching activity can also be conducted on a periodic basis when deemed necessary. Data matching includes the disclosure or sharing of personal information with another organization for data-matching purposes.",TBS Policy on Privacy Protection,"AC-21, PT-02, PT-03, PT-05, PT-06, PT-07, SI-18",,,,,,,,X,P2